query_id,article_id_1,article_id_2,article_id_3,article_id_4,article_id_5,article_id_6,article_id_7,article_id_8,article_id_9,article_id_10
000fba4508af4c6e,14b533ff20035f47,c9dbb71a6d14c564,8f7db96507a0cfd9,7c8af6b03ebf97fb,c48a0c9a0d0fd15d,d491044ab41b72c7,257f0c6c73619474,6392ddb575c89b5c,e544aec743ed118f,162393b53c40f4d3
00205027f62e0dc4,f885fcdf67a8a5b4,18db0731a8cb90df,fa64ec5c8ddf13ea,2365fe7d93704391,6c476607bdffb3be,bfcd54289aa16012,e954969f71aca2a2,4f8032490975fe02,c0f4911e157aafa3,3e4cc79ab02b7722
003c0ab2834081cf,b0addd2494d4d432,44f06ae26d856e00,f2da5cac14a1d67a,a978293e4729c5ae,a4a0cff7173202c6,d662a5950d804295,7a81c86d502c13b5,5cdbf1f6ee6c1d52,41856e60f4e7f43d,c36cd3ac0edc2171
0045e915b815e497,84cac87ba3916217,5296f3640271548d,a24762b682e5f253,c25373967b27badc,5c855c2ef92607e0,9e151835ef0a2c11,5cc3d3d15f05a274,66da51882720edf1,4139f4873f8375ae,2dede8c11b3ab93f
00ac8f59ab8196cb,b2338e81b560a43d,6e85ba4464e6d729,ea214a696a47eb05,bd7c76bbdabad4aa,bd26bd80f9e3ed1d,58ac82304805b6ce,cfe7e566e9009b52,8d98ec6ee28d4278,6e4feccb2e6b4b74,63a55d0d135a4155
00b81e449003bf96,244c5cff240427b3,676145f51318bad2,86f8e853658181cf,183b2f1c84ea8ec7,ea5885ca473a664d,a74ba23566140508,70ca5fe659e655e0,3de79d2ec2b327b1,3f9956326f3d0ad5,0aed5afa81306316
00ebf0ea86582913,f249e875d0e780db,a1ea6878185e66da,59563e1dada4c55b,94726631793ef53a,ea92c8bb116e609e,a30140f076b4492f,1db72e252b582db5,bb30601f9b7d31f3,a669ed9105c20119,3759d798d00b8d04
00f422ca3ecbfae3,518171f9cd9c32f7,a4a0cff7173202c6,0e3183cb229a9322,0ad42dc7a0a9fee8,c3427d8c69c2bf66,d5a1d203ec93e53a,1835b45ec8251328,c639b55767e17696,82c6409c3cc5cb4b,c4f2a7ddda4a07c4
00f6f844cfa8a8a3,2628664e278a2f49,ac6436ef65af250f,47b129c8206f45f5,7ebd1c364c0ccce2,3759d798d00b8d04,1aba49ac3796fe0e,875ac65b1c814665,5f892d403bcfc10a,3d72db780d1c1017,3bb28643672b0d80
01196dd23807e69d,97471eea1d71ab19,afbc4dbb4f28eed6,5febebcffe433f79,0459a17cc038ebaa,1a79281678091c09,c425900ec75b5f45,607b5666bc79cf6e,e6e63bd4db5f12fa,2a9b61ce84712bba,d17a08ad461da3b8
0120e3616f78d9df,736073b19c06d628,fa04e995272f9164,de154fc7c242aacb,1e9d0876c23e0d30,97d26f427467c1a6,845dda134f204cb3,40d29d224dec1149,a76a5f21156a71a9,b61d683784576e2b,f4bc8e21e1056f29
0145543272138fb2,f386ed4da8f484ca,841160d2b305b4bf,8626cd651e46c528,cc2d98e4da545f83,7e1ff76618cde7c2,36a457791999734c,5553cdbbfc57b24e,2b0a4e0499e94353,458bf5598508b6ab,e3d233eb23f7e5d3
